airline_sentiment,text
negative,"@AmericanAir Why doesn't anyone make a better effort to retain customers. It should be an easy fix, I just want to travel AA."
positive,@SouthwestAir your flight attendants are really funny!! The sass is giving me life!!! 😂
neutral,@AmericanAir the Late Flightst usair4603. Earlier 4591
negative,@USAirways telling a man theres NO FLIGHTS for the next 10 hrs!!! NO standby! NOTHING! NO OPTIONS! trying to get to sick child! #FireVan!
neutral,@AmericanAir @Delta @VirginAtlantic I need a vacation from all this ice! http://t.co/45kTsSK18J
neutral,@AmericanAir please can you tell me why DFW has a weather advisory and RDU does not? the entire state of NC has shut down from ice &amp; snow!
negative,"@JetBlue said they haven't started looking for it, gave me a $25-$100 limit. In NYC at the Waldorf Astoria and can't find $100 outfit. 😒"
negative,"@AmericanAir redirect my flight without telling me, service is abysmal."
negative,@united the only difference being you are both responsible and in a position to do something about them. Learn from @Delta
negative,@JetBlue flight attendant was hesitant to give me more baby sized cookies
positive,@USAirways thanks
negative,@USAirways I will NEVER travel US Airways again. Flew in from LA to DC last night and for the 2nd time on this airline my bags didn't arrive
negative,@united Holiday of a lifetime to New York ruined because you lost my luggage and have failed to find it since Sunday! #wontflyagainwithyou
positive,@SouthwestAir Me on one of your planes!!! Thanks for taking me Arizona 184! http://t.co/Finq5Fh6ue
negative,"@united : flight delayed by 24 hours, lost my wallet, have no money to eat or sleep yet your representatives will not help.#unitedsucks"
negative,@USAirways don't worry. Used own initiative and arriving much earlier than you planned for me
negative,"@JetBlue that I missed my flight. I had to book this flight extremely last minute due to a family death, there's no excuse for attitude in"
neutral,@JetBlue @SouthwestAir @VirginAmerica @AmericanAirBR download jeokoo the American app for air travelers
negative,@AmericanAir instead of putting the burden on your customers do the right thing and get more gate agents.
negative,@USAirways it takes a month?
neutral,@AmericanAir What's the best way to check on any delays or Cancelled Flightlations for my flight out of DFW on Tuesday?
negative,"@united I will give you one thing, you are consistent but unfortunately you are consistent at not doing your job well #AlwaysDelayedOnUnited"
positive,@USAirways #tbt every day.
neutral,@jetblue How long ago can a trip have taken place for me to still get credit if I didn't apply my TrueBlue # when I booked?
negative,"@united Such as deodorant, shampoo, toothpaste. Seems like that would be limited to 70oz, correct?"
positive,@united  Great customer service again. Thanks!
negative,@USAirways thanks for the worst customer service on the face of the earth. I loved the 5+ hrs on hold along w 2 Cancelled Flightled flights
negative,@AmericanAir is profiting in the billions and throwing crap at the people who put them there. American is a hurting brand
negative,@JetBlue what is happening with the flight from FLL to SFO? Why the delay and the reroute?
neutral,@JetBlue so yesterday a flight I wanted to Chicago was on sale within my points range and today it isn't. Any way you guys can still honor
negative,@united UA1565 IAH -&gt; SJO is delayed by like 1.5 hours. Crazy!
negative,@united contd... I am being told that I am asking for a refund on a used ticket on a flight that got Cancelled Flightled how is the ticket used?
negative,"@SouthwestAir thank you for Cancelled Flighting my flight, last minute of course, to #GIS2015. I'm now missing one full day of my trip thanks to this!"
positive,@USAirways Will do. I appreciate the response.
neutral,@AmericanAir my 2498 to CLT left the gate. What is next for CLT. Need help
negative,The saga of the @MelissaAFrancis bag delay w/ @United - will there be a reunion or will she be forced to go shopping? Stay tuned.
negative,"@SouthwestAir - stuck on the runway, again. Delayed on Wednesday. Not a good way to take care of your loyal customers."
negative,@united  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?
neutral,@JetBlue why bro
neutral,@USAirways so I can make a reservation
negative,"@united 2/2 Instead, had to wait on plane from Ottawa that never came. Now I'm back home and have to try again tomorrow. Suitcase still lost"
negative,"@SouthwestAir - our baggage motto: we don't cover that. Small tear, ripped seam, snow soaked, busted zippers - SORRY http://t.co/LHwFBKFynI"
negative,@united airlines abuse your expensive video equipment and overcharge you for the privilege http://t.co/SdyLuKR7pt via @robthecameraman
positive,".@JetBlue thx for confirming! Again, yr team is awesome. Thanks for the prompt &amp; helpful response! Cheers to less snow in everyone's future"
negative,"@united I was rebooked, however it would have been nice not to have to wait an extra 90 min at the airport.  How will you make this right?"
negative,@JetBlue can you tweet #closepwcs to get the word out?😢
positive,"@JetBlue be flying soon to NYC on your airline, of all airlines I've flown you're still #1 to me 😊😊😊✈️✈️✈️"
negative,"@JetBlue I've had no shampoo, no winter coat no deodorant no flatiron and the rest if my stuff since sat"
negative,@USAirways no warm weather hubs means no Mexico for us.  And I can't go anywhere else since you lost my bags. I hope you attempt to rectify
negative,@united well someone should tell that to the employees at the Denver baggage claim. Still no bag!!!!
negative,"@united booked a flight yesterday, appeared in my account + confirm email but since a few hours all disappeared and err ""no segment in this"""
negative,@AmericanAir Can't help now as all seats have been taken.  There has to be a way to handle high volume of call days.
neutral,@JetBlue alittle more money to book our flights... we're 1/2 way there :)
neutral,@SouthwestAir Are you announcing any more winners to the #DestinationDragons @Imaginedragons  show @VelourLive in UTAH this weekend? #Lucky
negative,@united of course I would like hepl! Are you kidding me? That's the ONLY reason I've been on hold for the past 5 hours!
negative,"@AmericanAir still no reply to my email sent on 11th February. Even sent an email asking for acknowledgment that's it been recieved, nothing"
negative,@united 65 and 72 year old flying to Tokyo for vacation both with bad knees and this happens https://t.co/72RMpkOGwu @cbcallinaday @CBCNews
negative,@SouthwestAir and now no wifi??? Come on.
negative,"@united It isnt simple issue, generally how you set up check in/baggage policies at Logan and general unhelpfulness of employees in early AM"
negative,@united why do I have to request refund? Why charge twice in first place?
negative,@united @bwood we'd prefer everyone hear our complaints amount your airline
positive,@AmericanAir thanks to AA / DART for getting me home in time for work this morning DEN-DFW... didn't have to waste a vaca day @dartmedia
negative,"@united I will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board."
negative,@SouthwestAir just disconnected my call after 2.5 hours without even speaking to me. #octaviannightmare
negative,.@AmericanAir how about connecting me with a customer service rep? I'd rather speak to a person than a computer. Thanks!
negative,"@AmericanAir Its the ABC's of PR, let your customers have the most info possible. Might want to go brush up on the basics..."
positive,@SouthwestAir thanks to Ella-Mae at LAS counter for going above and beyond to help us get back to ABQ after our flight was Cancelled Flightled!
negative,"@AmericanAir today, after 6 yrs., no longer my preferred airline."
neutral,@united can you put Russell Daiber (on same ticket) as well into premium Eco? Appreciated!
negative,@SouthwestAir my parents flight frm STL2ATL Cancelled Flighted 2nite. When's the next one out?!
negative,@united spending the afternoon @ Mia. Not your fault.  No lounge? Very inconvenient.
negative,@USAirways thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer
negative,@JetBlue Understood but I watched as fam heading to FL was expedited when they had 25m to takeoff. I am speaking at conference in SF
neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
neutral,@united LGJW7B. I voluntarily rerouted; 1st leg of journey was in economy and was supposed to be 8B. Res agent said she'd reserve it for me
positive,"@AmericanAir we are off to Kax premium.  Hoping this flight is better food, TV now I know how to work it and service. Tnx"
negative,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!
negative,"@USAirways @AmericanAir Almost half hour on hold.  My cell phone battery is dying.  Thanks for your loyalty from a ""Platinum"" member"
negative,"@AmericanAir please fix your inventory system, Plat upgraded then bumped DOWN after boarding, FA said they made a mistake. AA45 3A➡️8C 😕"
negative,@JetBlue any news on flight 122 pbi-boston delay? Can we wait to arrive at airport based on reported 1 and 1/2 hour delay?
positive,@united is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso http://t.co/9mEOzBO4xl
negative,“@SouthwestAir: @TinaIsBack I'm so sorry for your frustration. Did you get rebooked? ^SW” I've been rebooked 4 times!! Still stuck!! #SMH
negative,"@USAirways -not just this trip, been a few. Ur saving grace is ur cheaper flights. Now willing to pay more 4 bttr service on bttr airlines."
neutral,@AmericanAir Both pictures taken at the same time but which is right? #totallyconfused http://t.co/dvSLtQZKmQ
negative,“@united: @RobCNYC See information on our boarding process: http://t.co/gBIw9ugFNm ^KP”. I get group 1&amp;2. Just no reason on 3/5.
positive,@SouthwestAir show me some love and a companion flight~please and thank you!
positive,@united thanks for the reply. I have been in contact with Customer Care to get clarification on this issue.
neutral,@AmericanAir where do I look for cabin crew vacancies?
negative,"@AmericanAir @ezemanalyst why don't you tweet canned, impersonal responses as though this is the only impatient customer you've got"
positive,@AmericanAir no apologies required. I made it home safe thanks to you! Kudos to AA!
negative,@USAirways Instructions say to CALL. I'm just doing what it said to do.
positive,@SouthwestAir DM sent.  Thank you.
neutral,@SouthwestAir @geekstiel Do you know when the last chance is?
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/pr3OeBC2N2” lol wut?
neutral,@JetBlue the USA help line.  i accidentally booked a flight on a thursday instead of a wednesday and want to switch
positive,@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.
negative,"@JetBlue ripped my suitcase. I then was yelled at with attitude from Geraldine, your employee at the baggage center.Worst airline= #jetblue"
neutral,"@JetBlue So anything found while cleaning the plane in DC would be at the baggage office, even something small?"
negative,@united and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best
negative,@USAirways 2nd plane forced to get off due to mech and wait for 3rd need housing and meals in STT need help b4 we arrive at STT please
negative,@JetBlue the gate agent said our original plane got de-icing fluid in the engine that created a short so they took the plane out of service
neutral,Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”
neutral,@united that's of course in lax
negative,@SouthwestAir what's yall corporate number bc yall are not trying to accommodate me at all!!!
negative,".@JetBlue Navigating through 2 rebooks due to flu &amp; ice to visit my Mother.  Your CS reps have been so very helpful, patient and friendly."
negative,@SouthwestAir on hold for over an hour twice?  Terrible.
negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
negative,@united no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.
negative,@AmericanAir can u help rebook passenger via Twitter/DM.  Been on hold for 1.5 hours. Thanks!
neutral,@AmericanAir what terminal LHR for aa5/BA1506? Doesn't say in boarding pass
neutral,@AmericanAir do you guys have another flight for today that you can book me on from laguardia to louisville ky?
negative,@SouthwestAir apologies help. Would have been nice had supvsr. Sally in CLE offered one. Not usual gr8 southwest customer service I love
negative,@united Yes I needed plenty of assistance but received none.
negative,@USAirways sitting on the ground in Charlotte with no gate or comms for flight deck great happy Friday hope i make my connection
neutral,@SouthwestAir will you ever have a nonstop from #SJC to #BNA?? We'll take #SFO or #OAK too! Pleaseeeeee thank you!
positive,"@USAirways Frustrating days!No flights home, changed airlines. Thank you PHL USAirway employees &amp; @united for help getting me back to IAH."
positive,I always look forward to JB RT @JetBlue: @bostongarden :) Looking forward to welcoming you onboard! 💙
positive,"@JetBlue aha, ok. Thanks! Was worried there might not be a seat at all :) Will do it at the airport tomorrow then!"
positive,"@JetBlue Also, thanks for your prompt replies. I'm really impressed--and you're not just brushing me off. Much appreciated!"
negative,@SouthwestAir Please update your website
negative,"@USAirways nope, done. Was supposed to get home at 9pm and didn't get home until midnight. #NeverAgain"
neutral,@united make sure you take care of @LSUsoftball team &amp; @LSUQuinlanDuhon team. We are 16-0!!!!
negative,"@AmericanAir yes it is in Dulles and I need it delivered to the Embassy Suites in Herndon, VA. I'm still in Chicago from the fiasco in LAX"
negative,@SouthwestAir All I requested was a refund of my Reward Points that I used to purchase the flight and he refused.
negative,@JetBlue I don't want JetBlue +TV. I want JetBlue +WIFI :(((
negative,@USAirways standing in line with 100 people all looking to do the same
negative,"@SouthwestAir experiencing the worst customer service ever currently. Waited for CS rep, then put ""on hold"" but actually was hung up on."
negative,@USAirways I called the number and they said no one is available to take my call...guys this is insane
positive,"@united gave me a smile today, with a Zero Award... ;-) Computers have some sense of humour :-) http://t.co/JNqNbk7HuT"
negative,@USAirways i dont need to check status of my flight because i was ON the plane and you had a door malfunction. Get it together!!
neutral,@JetBlue Airways Corporation Insider Trading Update - Rock Hill Daily http://t.co/vvzkSMFKVw
negative,@JetBlue no news here at the gate. What are my options?
neutral,@united left my iPad on MCO-&gt;IAD flight 174. How long to hear back once claim submitted? TY!
negative,@AmericanAir I DMed you my AA &amp; phone #s &amp; you can't have someone call me? What was the point of your response? You didn't resolve anything!
negative,@SouthwestAir you're killing me!! always #delayed from #SanDiego to #SF!! #ugh
negative,@AmericanAir yes and the auto rebook confirmed an outbound that departs after the return flight.  # fire the software programmers
neutral,"@SouthwestAir better travel photos:
My Kindle e-book Easy Tips guide http://t.co/7dM2J8H97M:
http://t.co/xeDeckGMW5 http://t.co/frGhglMkqF"
negative,@AmericanAir now on 5th plane of the day. First 4 all taken out of svc. Scheduled dep 3 p.m. Still on ground ORD 10:45pm
negative,@AmericanAir No. I was told I got put on another flight and that I would get an email. Still haven't gotten one yet.
negative,"@SouthwestAir#4569 Cancelled Flightled, had to get refund. Cancelled Flightlations happen. But the 25+ min phone wait &amp; painful music unacceptable. Come on..."
positive,@JetBlue i love this song &lt;3 thanks @JetBlue
negative,@USAirways The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?
negative,@JetBlue figured but delay is listed at almost 2 hrs. Thanks for being great! Cheers
negative,"@SouthwestAir have a flight from Oakland to SNA at 7:30, and I asked if I can take 5:30, even there are 5 empty sests. Answer is ""No"". :("
negative,@americanair flight veers off icy runway at @dfwairport. Most DFW flights Cancelled Flighted Mon http://t.co/Q37pOWn6uv @Cowboycerrone figures right?
negative,@USAirways can you DM please in regards to update on lost bag please.
negative,@JetBlue exactly why is my flight delayed? 599 BDL to DCA? Can't seem to get an answer
negative,@SouthwestAir Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter? thanks you.
negative,"@AmericanAir Thanks - I note some, but not all, flights are Cancelled Flightled - are only some aircraft/runways working out of DFW today/tomorrow?"
negative,@AmericanAir a free check bag a food comp a flying credit something to help out now that I'm an additional 200 dollars in the hole
positive,@united EWR agent Barbara was FABULOUS and an example of CUST. SERV. A pleasure talking to you😊 http://t.co/KMQuLY9g5E
negative,"@USAirways 167 minutes?  ""Im not trained in that"". Cmon. Can't you do better than that?"
negative,@SouthwestAir  no such thing as a free flight. Gonna be spending $100 on board rental bc #swa couldn't get my baggage to greenville w me.
neutral,@united any chance you could look into my problem from earlier?
negative,@united can you not get the first flight of the day off the ground on time?   #1531.  Let's go.......
negative,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you."
negative,@united how is it that my flight #3367 can arrive early and be delayed due to no gate being available. We are now 20 min Late Flight on tarmac
negative,@USAirways I get some bs from a guy at the door says door closes 10 minutes before it backs out. Yet I know for a fact it was 5 people short
negative,"@USAirways I’ve been on hold for 36 minutes now, any time you want to answer the phone that would be great."
negative,@USAirways no online clearly states I can NOT- It says to call res. I already explained that.
negative,"@USAirways was on hold for four hours, never got connected. Came to the airport and your rep essentially told me and everyone else to screw"
negative,@SouthwestAir no delay. I pay $777.70 for BS A1 ticket. You boarded flight early. I'm last to board. Now have middle seat. Wasted $$$$!
negative,"@AmericanAir Nope. Couldn't make changes online and after 90 mins on hold and time dealing w/ the rude rep, the 24 hour window has closed."
neutral,Sigh... “@JetBlue: Our fleet's on fleek. http://t.co/W5NL0AY9Bl”
neutral,@united is there an email address I can reach? Too long for a DM.
neutral,@united DM ed u the request num
negative,@united no wifi on #ua688 #SF to #Chicago? 2015. That's all. Ps: This tech intro video is a joke. #EpicFail
neutral,@united Is a snowboard boot bag included in the standard checked baggage next to the snowboard bag?
negative,@united look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight http://t.co/o1u96Xc3bo
neutral,@JetBlue going to San Juan!
positive,"@USAirways 
Good news, we got fixed."
negative,@jetblue we never received that $15 credit for inoperable tv's on our SFO &gt; JFK flight 2 weeks ago. never got an email...
negative,@USAirways thanks for overFlight Booking Problems first class and automatically downgrading my upgrade 3 min before boarding. #ffstatusdontmatter #thenewaa
negative,@united please send help ASAP to @KathrynSotelo on flight 5957 to Chicago seat 9c #Airlines http://t.co/9sKrLyrZ1O
neutral,@JetBlue or she ;)
negative,@JetBlue already spent $300 to stay at hotel last night due to you guys rescheduling my flight. Since my Cancelled Flightation I've spent almost $500
neutral,@USAirways there is nothing tonight and I am on the flight now with GOGO internet is there a way that someone could send me a DM or email?
negative,@USAirways flight 413 my carryon is missing.stollen off plane or left at gate. Worst customer service. Doesn't seem to be anyone's concern.
positive,@SouthwestAir  I look forward to those direct flights to California to see my family more often. Thank you @MichaelBColeman #byebyeusairline
negative,@USAirways you are the actual worst.  You have zero respect for your passengers. I'm officially done flying with you.
negative,@United 50 minute wait times to help with a Cancelled Flightled flight?? Help a guy out?
negative,"@united @FlyEIA yes, they said it took more than an hour!"
negative,@AmericanAir yeah and what are they gunna? Nothing your whole organization is a joke
positive,@AmericanAir Thanks for sharing these photos! Round of applause for your crews! We appreciate all their hard work.
negative,@SouthwestAir but to make us tru to find space in other flights.  This customer service is as bad as @SpiritAirlines.
negative,@JetBlue would have been good to know months ago that you Cancelled Flightled our flights leaving tomorrow #telleveryone #jetblue #NeverAgain
positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
positive,@JetBlue That'd be nice! Hoping to rack up enough miles to take a trip to Seattle and enjoy a perfect latte in the city of coffee.
positive,@AmericanAir DMing you now! Big thanks.
neutral,@JetBlue do you sell open tickets? I have a sick relative and may have to travel at a moments notice. Sad but true.
neutral,@SouthwestAir App Updated With #Passbook Support http://t.co/WrWqrUblPs via @ubergizmo
negative,@united JP - DM message who? Can't get a DM through to @united
neutral,@SouthwestAir I was not the one traveling. I was asking for my sister who was waiting on my nephew in Midland...flight eventually landed
negative,@united flight 3763 IAd-Sat. We're on the outdoor track for an hour
positive,@USAirways your pple did a great job w the madness however some of your systems need help. I appreciate the hard work &amp; the push to b better
negative,@SouthwestAir our flight is delayed till tomorrow curse the weather
positive,@AmericanAir thanks. Delivery status??
positive,@USAirways shout out to the pilots and FC attendant(Eliz) of US 673. Super strong crosswinds during landing. Eliz did a super job throughout
negative,"@jetblue having trouble signing in to TrueBlue today, despite right credentials. getting ""We are not able to sign you in"" msg."
negative,@AmericanAir Thanks. Took care of it. Issue was IVR was unclear and took too long to get a call-back option. Would love to see that fixed.
negative,@AmericanAir @maxfitgirl29 next time fly Southwest...
negative,@southwestair please help us check in... i never expected you to make travel painful... just like the rest all of a sudden...#intlcheckin#
negative,@SouthwestAir flight Cancelled Flighted tonight and was told I won't receive a travel voucher for the inconvenience. Is that really your policy?
negative,"@AmericanAir would have been had I seen this before 1130pm EST, when I was sound asleep."
negative,"@SouthwestAir WTF, my flight was delayed and then I go to board and my boarding pass has disappeared from the Southwest app!"
neutral,"@VirginAmerica Now, when will we see VirginAmerica come to Philadelphia (PHL)."
negative,@AmericanAir We all did! Skipper's walk-around too :(
positive,@SouthwestAir thanks for your excellent response time and assistance! All set :)
negative,@AmericanAir robocalls me with another Cancelled Flightation. And then when I don’t accept the change it won’t let me connect to an agent. Just wow.
negative,@JetBlue What happened w/#19 from BOS-SAN? My mother is onboard &amp; the crew was evasive as to why they had to return to BOS the first time.
neutral,"@USAirways Only for one flight, though. The 2nd leg my kids are sitting scattered about the aircraft."
negative,"@AmericanAir I did twice.got a letter back saying that your company ""doesn't issue refunds for phone bills"" help!phone will be shut off"
negative,@SouthwestAir yea but I was hoping to avoid the ticket difference amount as a birthday courtesy? #flysouthwest #lovesouthwest #mybday
negative,"@USAirways delayed, connection missed, now extended layover how about a lounge pass for PHL. #5077"
negative,@SouthwestAir do these scavenger hunt  locations have anything in common because I'm playing detective trying to figure out the one for ATL.
negative,"@JetBlue rather than trying to resolve customer issues, only options offered were paying cash @ airport or write letter. #JustifyThisSupport"
negative,@united every time I search a flight your site logs me out and gives error message. About to book on a different airline and Cancelled Flight my card.
neutral,"@AmericanAir is that the ""record locator""?"
negative,@USAirways @united really know how to leave someone stranded after a funeral. Props to you guys. Really making this the perfect Monday.
negative,@JetBlue I thought being a mosaic member had 'perks' the best part is instead of checking the extra 5lbs I'm carrying it on 😒
negative,@united I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?
negative,"@USAirways @nburnside26  U hate delays, too?  But u have her $$ &amp; are holding her hostage!  #GoingForGreatnessFAIL"
positive,"@JetBlue btw, Robin Hayes is speaking at next month's @USChamber aviation summit. He ought to give a shout out to his Twitter team. You rock"
positive,@SouthwestAir I'll have to drop by next time I visit!
negative,@USAirways little help to us! My husband has been on hold for an hour for something that take 5 minutes to complete.
negative,"@united instead of making  seats smaller/thinner so u can jam more people on a flight,u should concentrate on maint &amp; happy customers"
negative,@SouthwestAir Cancelled Flightled my flight and I'm stranded in St. Louis. Not sure what to do. No other flight until tomorrow. Am I to sleep in airpt
negative,@USAirways I didn't even leave the airport and you sent 2 of my bags to Philadelphia!
neutral,@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?
negative,"@united, we've been waiting for over an hour for our luggage- what gives?"
neutral,"@SouthwestAir Hey there, can you follow us so we can DM you a question :) 😁"
negative,@AmericanAir im still on hold...
neutral,@united mine is GJQX6J husband is A587CW (Can't DM for some reason.)
positive,@SouthwestAir LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove
negative,@AmericanAir they don't even give an option to hold.. Just say lines are busy Plz try Late Flightr
negative,"@united Thanks; might want to fix this line: ""Our Customer Care team is currently responding to most inquiries within 7-10 business days."""
negative,@USAirways I just spent 3.5 hours and got nowhere. Entire experience #epicfail
positive,@JetBlue had a great experience working with Glenn Coles at Buffalo-Niagara Airport!! Top notch employee
neutral,@united Thanks. Got it straightend out last night.
negative,"@united - well, now finally on board hopefully we take off this time and quickly. Well over an hour delay!!"
negative,"@AmericanAir that would be appreciated. Just please don't send me to the same page with long form &amp; limited characters.
Direct email?"
negative,@united has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!
negative,@AmericanAir merged airlines do not work for FF programs. Very frustrating and the gate agents are to busy pouting to care. #AttitudeIssues
negative,@JetBlue @ZKatcher @bretharold does it look like to we talked to customer service? http://t.co/vYUAnh4Iqr
positive,@JetBlue keep going back and forth with being able to board and then not. But great agents in savannah!
negative,"@united if your policy changed, you must advise at the time of purchase.  Same if you choose to vary it by airport!  We want a FULL refund!!"
negative,@united why are your SFO-&gt;BOS nonstop flights not competitively priced with those of JetBlue and Virgin? $179 vs $324. Identical times.
negative,@USAirways 24 hrs of traveling and this just welcomes u back home to the US. 4 hr layover and I get to watch it going to wrong destination.
negative,@united No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business.
neutral,@SouthwestAir honesty should always be the policy
negative,@USAirways why the hell did you overbook a plane when you knew people actually had seat assignments. #inept #uncaring #piss poorplanning
positive,@SouthwestAir YES please....How do we get that companion pass?
neutral,@AmericanAir hook me up with a free trip to Barbados and I will tell you the secret beaches to see
neutral,@JetBlue marks 15th birthday with 'Blumanity' paint job - @Dallas_News (blog) http://t.co/lFGR0Nifut
neutral,"@united no worries, I think it’s under control. (the emails are keeping me informed)"
negative,@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone
negative,@USAirways Like I thought this was America.  When did US Airways start operating under the rules of communist Russia?
negative,@AmericanAir you flew me into Chi instead and I got a ride to MKE. U said my bags would go to MKE today. Is it on the Cancelled Flightled flight tho?
negative,@AmericanAir how about some rampers at gate b40 dfw?   Waiting to be marshaled in
positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
negative,@JetBlue is giving us free movies because apparently the dunkin donuts coffee is a safety hazard. #thingsyoucantmakeup #switch2SBux?
negative,"@united Thank you. Yes, I was hoping to speak with someone directly, but appreciate the link nonetheless. :)"
neutral,@VirginAmerica ...Please come to Minneapolis St. Paul!
negative,@JetBlue other jfk to Boston flights went off with some delay but not this.  #epicfail
negative,@united on flight 1665 but it's not departing! Website says delayed due to operational difficulties-what does that mean?
positive,@SouthwestAir is there a way to know who checked my bag on the curb? She was awesome!!! And want to be sure she gets a high five!
negative,"@USAirways your customer service in Philly is deplorable, rude &amp; unprofessional gate agents after delays &amp; Cancelled Flightations #takingthistothetop"
negative,"@united EWR ppl told me to call 1800#, have 2x/day since Monday. Still at layover loc. have that ref # tho. Any help appreciated."
negative,@AmericanAir flight delayed 3 times today due to flight officer. 4333 from pit to ord. 5 hour delay to date. #bademployeeproblem?
negative,"@JetBlue after boarding flight 0510, the captain informs that he could exceed the16 hrs regulation and turned the plane around. Incredible!"
negative,@AmericanAir can you?
negative,@SouthwestAir and thx for not responding
negative,@united you are making me miss big snow in Montana. Not cool.
negative,@jetblue are going to let Fl382 into a gate in BOS any time soon? We're just sittin' here on the tarmac  waiting.
negative,@united - flight 1114. Unfortunately this isn't an isoLate Flightd incident. I haven't waited less than 20min in years
negative,"@usairways I've been on hold since 11:30pm how many customer service reps do you have?
 #seriously"
negative,@united your Airbus a320 seats are awful. They don't recline.
negative,@United is freaking worthless. I hate this airline. http://t.co/dN1if2cGwE
negative,@AmericanAir Need to go frm TPA to MCI tmrw &amp; my connection thru DFW is Cancelled Flightled. Can u connect me thru a diff city? Been on hold for 2 hrs
negative,@SouthwestAir I'm miserable on your Orlando to Vegas nonstop right now. How big must a guest be for u to require 2 seats?  I'm in 1A btw.
negative,@JetBlue just please get my luggage from #2070 onto carousel 5 / Logan Airport and I'll be able to go home!
negative,@AmericanAir due to gate agents I missed my connecting flight to Mexico City...not a happy customer AA- let's correct this
negative,@united you really do have a culture problem. Everyone I tried to work with blamed someone else or told me how they're short staffed
negative,@united my baggage is in shannon now so never mind u can work on giving me some $$$ back now
negative,@USAirways we've now learned to never fly with u again. You've lost 16 customers from our group + the hundreds more from our company
negative,"@united I'm in Denver, my bag is in San Jose. See something wrong here."
positive,@JetBlue great.
neutral,@SouthwestAir @flightspots about time! #mobileboarding is a must!
negative,@SouthwestAir how does your pre boarding process work? Basically anyone who doesn't want to wait their turn can get a slip?
negative,"@AmericanAir flight from DC to LA, not to mention fix the circuit breaker in our bathrooms because this plane is as old as me..."
negative,@united ...she said she would need to get a supervisor. While waiting for the supervisor she hung up on me.
negative,"@USAirways I have fam thats supposed to fly 2/22 that are currently in the hosp.3 trys to speak to a human, yr phone sys cuts off. pls hlp!"
negative,"@AmericanAir but you're not sorry enough to compensate for either the extended time or cost difference to an alternate direct flight, right?"
negative,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡
negative,@SouthwestAir I was on hold for over 2 hours and my call got disconnected. Thanks a lot.
positive,@united thnx ^LO :-)
neutral,@AmericanAir will do. I also passed the website around to other passengers.
negative,"@united I'm fully aware, it's just that your rules are harsh toward the client. Especially since you're going to resell my seat for more $."
neutral,"@SouthwestAir I notice that there are separate buttons for ""guitar"" and actual ""music"" in this pic. Some bands should take note of this."
neutral,@SouthwestAir using social business roadmap to develop intelligent path to embed social across enterprise #RaganDisney
positive,"@JetBlue  FLL to MDE, great flight, great customer service, THANKS! 2 mths waiting  @AmericanAir  to speak to a human at customer service"
negative,.@USAirways Can't book a flight online or over the phone. Your customer service is usually great -- anything you can do to help?
negative,"@USAirways Seriously, flight delay Cinci to Philly due to new ground staff, miss connection to MAN UK and now have to argue for hotel. WTF"
positive,"@JetBlue friendly, engaging, personable, handled clarifying questions about baggage fees well, and took an interest in what I was doing."
negative,@AmericanAir Now your site is not working! WTF
negative,@JetBlue woulda been nice of you to let us know that or post it!!! Your boards still show the flight on time!!!
positive,@USAirways I will. Thank you for at least tweeting me back:) better than most. 👌
neutral,"@JetBlue I would fly to Washington  DC to see the actual Constitution  and the Declaration of Independence, in honor of a US Navy friend."
